video_id,datetime,title,transcript
Ot2c5MKN_-w,2024-11-20T13:31:14.000000,Multimodal AI: LLMs that can see (and hear),multimodal models are capable of processing and generating multiple types of data for example models that can convert text prompts into images transcribe speech and even caption images in this video I'll introduce three ways of developing multimodal AI systems by building on top of large language models I'll start with a highlevel overview of each approach then share python code demonstrating how to use use llama 3.2 Vision to solve various image to text tasks and if you're new here welcome I'm Shaw I make videos about the things I'm learning about and building in AI if you enjoyed this content please consider clicking the Subscribe button that's a great no cost way you can support me in all the videos that I make the goal of this video is to give a highlevel introduction to multimodal models and describe a specific type of these models which buil on top of large language models starting from the basic question of what is a multimodal model here I'll Define them as AI systems that can process multiple data modalities either as input output or both some notable examples of multimodal models include GPT 4 which can take in text images and audio and return back text another one is black forest's flux model which takes in US user text prompts and generates images based on those prompts or even a AI system likeo AI which can take in text prompts from users and generate music although these are all examples of multimodal models they are all developed in very different ways so here I'm going to talk about a specific type of multimodal model which buils on top of large language models these are sometimes called multimodal large language models or even multimodal language models I know the naming of these things may not be so great but that's what they call it in the literature and so the basic idea here is that we take a large language model whether it's pre-trained or we take the architecture of a large language model and we augment it in some way to be able to process multiple data modalities what that might look like we have our llm we augment it to also be able to take in images and audios and then add some components to the end of it so that it can also generate images in audio the key idea here is that these multimodal language models use llms as a core reasoning engine we might ask ourselves why use language models to go multimodal aren't these optimized specifically for text well there are a couple reasons why we might want to do this one llms have demonstrated a strong ability to acquire World Knowledge meaning that through the model's pre-training it learns a lot about the world and it also learns a lot about Concepts which we might not initially associate with text there was a popular paper I can pop it up on the screen called Sparks of AGI put out by Microsoft and there they were showing examples of how gp4 was able to draw images and understand spatial Concepts and do spatial reasoning even though it was strictly trained on text so it seems that even though large language models are only trained on text they also learn Concepts which may be helpful for processing other types of data another thing is that text prompts is a natural way to enable zero shot capabilities so the meaning of zero shot is basically using a model to perform a task that it was never trained on specifically text prompts which are native to large language models are a natural way to steer a model to perform these novel tasks through basic text descriptions so here I'm going to talk about three General paths to developing these multimodal language models so the first is going to be augmenting llms with basic tools the second is going to be augmenting llms using so-called adapters and then the third and Final Approach is to create a unified model which is trained from scratch so starting with path one this consists of adding external modules to do X to Tex text or text to X where X represents any arbitrary data modality it could be images audio EEG data time series data it could be anything so the way this works is that we'll have our large language model which is only capable of taking text in and spitting text out and if we wanted to say add the ability to process audio or speech a very simple way of doing this would be to pass any input speech into the system through a speech to text model like whisper and then passing that subsequent text into the large language model to do reasoning we simply just prompt the large language model to say do tasks based on the transcript for example if you wanted to summarize YouTube videos you could take the audio transcribe it with whisper and then pass the transcription to the large language model and simply prompt it by saying please summarize this YouTube video transcript or something like that we can also do something similar on the back back end so let's say we wanted to generate an image we can tell the large language model to generate a prompt that will be passed into a image generation model for example it could generate a prompt for flux and then flux will generate an image and indeed this augmentation of large language models with external tools is how the early versions of chpt was able to process multiple data modalities and so some pros of this is that this is very simple to implement you don't have to train any models you don't have to be a machine learning engineer you can get by with basic software engineering and connecting some apis together the other Pro is that no training data is needed you don't need to train a speech detex model you don't need to train an image to text model you don't need to train any adapters as we'll see in the next slide you can just use all these pre-trained models out of the box and Stitch them together to fit your needs but of course there are some cons one is that this type of system will have limited capabilities for example there may not be a pre-trained model that reasonably translate an arbitary modality into text for example if you have sensor data collecting information about the weather there may not be a natural way to translate that into text and pass it into the large language model another limitation here is that you can only customize the model through prompting the large language model so this may make it challenging to steer the model's performance in a particular direction another note about customization is that since these are all independently developed modules there's no guarantee that they're going to play nice together so it's going to take a lot of tricks and prompt engineering to get this to work well so a way we can unlock better customization of this type of multimodal model is by training so-called adapters to glue together different components of the system so specifically adding encoders and decoders to the llm which are aligned via fine-tuning so to show what this looks like we still have our llm which only takes in text and outputs text then let's say if we wanted to add images we can use a so-called image encoder like clip which takes the image and translates it into a dense Vector representation and then what we can do is train a relatively small number of parameters called an adapter to translate the dense Vector representation of the image encoder to a representation that is compatible with the lm's internal concept space and so this can be done in a few different ways popular Ways by using image caption pairs so you can train this adapter such that the image representation is similar to the llms representation of the corresponding caption and then we can do an analogous thing on the output side let's say we wanted to generate an image we can get a image decoder which translates a dense Vector representation into an actual image this might be a stable diffusion model and then we'll glue together the vector output of the large language model to the vector input of a stable diffusion model using a decoding adapter a key thing here is that there isn't a need to retrain the image encoder image decoder or large language model in this case the only things that need to be trained are the adapter weights so either the encoding adapter or decoding adapter or both the fire emojis are indicating the trainable parameters while the snowflake emojis are indicating the parameters which are frozen some of the pros to this approach is that you get better customization through adapters you have a way of aligning the different pre-trained models so that they work nicely together another upside is data efficiency since we're only training a relatively small number of parameters through these adapters you don't need massive training data sets you can probably get good performance with on the order of hundreds or thousands of examples the cons of course is that this requires training data while in the previous approach we didn't require any training data so this is a bit more work on the machine learning engineering side and also this is a bit more technically sophisticated than before so now you can't really get by with just basic software engineering and API calls you're going to need to put on your data engineering hat you're going to need to put on your data scientist hat and your machine learning engineer hat in order to develop a system like this and I also want to point out a few nuances here so there are a wide range of models in the literature that follow this approach and sometimes they'll take it one step further in that not only training the adapters but after doing so there'll be a second stage of fine-tuning where they'll do an endtoend fine-tuning of the system another Nuance here is that sometimes people will add cross attention layers inside the large language model which will allow the model to mix the different modalities together and another Nuance is that you know maybe you want to bring your own pre-trained model so you don't want to use a readily available model like clip you want to create your own image encoder on your own custom data set but then you want to plug that into an existing large language model so there can be a lot of nuance here than the simple picture I've shared and so if you want to get a better sense of all the different ways that this approach can look here are several examples from The open- Source Community now it seems llama 3.2 vision is gaining some traction and then there are several others as well the final way that we can make large language models multimodal is by mixing modalities at pre-training in other words training the llm to be multimodal from scratch this will greatly simplify the inference architecture because the model can natively take in any data modality and spit out whatever data modality you train it to do so some key pros of this is that you get seamless modality integration you don't have to worry about external modules and pre-trained models and gluing them together with adapters it's kind of like how Apple builds their products to be seamlessly integrated end to end as opposed to like a gaming PC which hobbyists will source and put together on their own another Pro of this is faster inference times since data doesn't have to be piped and pass through different models and everything is just passing through a single model there's less computation that needs to be done so there will be faster inference times and this is something that was observed with GPT 40 when it first came out but of course the cons of this approach is that it comes with many difficult technical challenges so the models that we've seen that use this approach come from teams of dozens of researchers and engineers at top institutions so this isn't going to be like a fun weekend project for anyone just like training large language models from scratch comes with massive data and compute requirements training a multimodal large language model from scratch will require even more because of the added modalities unless you've got a team in tens of millions of dollars behind your back it's unlikely that You' be able to develop a model like this that's comparable to what we're seeing in today's landscape some examples of this that I'll call out are presumably GPT 40 and Gemini although they don't share all the details of how these models are developed it seems that they do have some kind of unified pre-training and then some other ones in the open source Community are emu3 blip and chameleon so now that we have a basic idea of how these multimodal language models are developed let's see what they can do so in this example I'm going to use llama 3.2 Vision to perform a variety of image-based tasks so in order to run this example I'm going to use ol Lama which allows you to run these models locally on your machine so you don't need to make any API calls in order to get olama installed on your machine you'll need to go to their website ama.com and then you'll need to download it for your operating system another requirement is to install their python Library so it's a simple pip install olama jumping into the code there's only one import so we'll just import ol llama and then we'll download the model using this line of code here so here we're grabbing llama 3.2 vision and this will be the 11 billion parameter version and then we can use this model to do basic visual question answering so it's actually pretty amazing in Just One Import and then one line of code we're already ready to start using this model but anyway we can pass an image and question to the model using this syntax here so we'll do. chat and this is very similar to the Syntax for open AI API so you specify the model and there are several models available on oama so we're going to use the one we just imported and then we'll Define the messages we'll just have one message which will be stored in this list of dictionaries so we specify the role this message is coming from the user the content of the message is the text associated with it which is going going to be what is in this image we can also pass in images these are saved in a folder in the project directory called images and it's a photo of me sitting we can also pass in multiple images it's not limited to just one and then with that we can just print the response of the model this is what the image looks like it's a photo of me from a networking event in fireside chat and then I asked llama 3.2 what is in this image and this is what it said it said this image shows a man sitting on a yellow Automan with his hands clasped together he is wearing a black polo shirt with a name tag that says Shaw and a black baseball cap with the white text that reads the data on Ray preneur the background of the image appears to be an office or lounge area with a large screen on the wall behind him displaying a presentation slide there are also several chairs and tables in the background suggesting that this may be a meeting room or common area for employees to gather and work so I would say for the most part it does a pretty good job my PO is actually more of a gray than a black but I guess that's pretty close it's spelled entrepreneurs wrong but it's actually pretty amazing that I was able to read that I can't really read that from this angle this is indeed a lounge area behind me in a co-working space so does a pretty good job just from this image without any additional context another thing we can do is streaming so on my machine I have the M1 chip but it still took like 30 seconds or a minute to generate that pre previous response to make that waiting a bit more bearable we can enable streaming so this is kind of like when you go to chat GPT you type in a prompt and it'll start spitting out text one word at a time it's just better from a user experience standpoint so we can easily enable streaming with olama using this syntax so we just have the same. chat same exact inputs but then we just have this stream equals true argument and then what we can do is print text from the Stream in a for Loop and then if we run this we'll see the response appear one word at a time I asked a slightly different question the second go around I asked it can you write a caption for this image and it gave a different answer which is pretty interesting slightly different prompts but quite different responses I'm not going to read through this but some notable things is that instead of the data onr preneur it said the data Enthusiast so it's interesting how that changed and then also it kind of caught the fireplace the second time around it started describing the paint and the design of the background so I think this is a fun thing to play around with locally on your machine passing in images and asking questions about it could be a fun thing to do describing objective images is one task but describing humor in memes requires a different level of let's say intelligence so let's see how well the model can explain memes to me basically the same exact code as before but now we're just going to pass it a different image and a different prompt so I'm asking to explain this meme to me so the meme looks like this this is from a previous video and a LinkedIn post so I asked llama 3.2 to explain the meme to me and this is what it said the meme depicts Patrick Star from SpongeBob SquarePants surrounded by various AI tools and symbols the caption raids trying to build with AI today the image humorously illustrates the challenges of using AI in building projects implying that it can be overwhelming and frustrating so I think it got the gist of the meme it recognized Patrick which is kind of amazing when you think about how this model was trained using that path two of aligning an image encoder with llama 3.2 is internal concept space and then the final thing is optical character recognition the code looks exactly the same but now we're going to prompt it to say can you transcribe the text from the screenshot in a markdown format and then we'll pass it in a different image so this is from a LinkedIn post describing five AI projects and so not only do I want it to parse this text and write it out I want it in the markdown format so let's see how it does it says here's the transcript of the text in a markdown format and it does a pretty good job the only thing that's missing here is that this should be a header so there should be a hashtag or a couple hashtags in front of it but everything else it did a good job you know I didn't see any expelling mistakes and then it got the numbering and the bullet points right the amazing thing about these emerging multimodal systems is really this zero shot capability no before if I wanted to do OCR I needed an OCR specific model and that model may not do markdown but now I have a single model that can not only do markdown it could probably do HTML it could do plain text you can easily customize these models simply by changing the prompt no fine-tuning or model training required I barely scratched the surface with these three examples but hopefully this gives you an idea of what these models can do so this was actually the first video in a larger series on multimodal AI in the next video of the series we're going to talk about multimodal embedding models so we actually already talked about an example of such a model in clip when talking about path two toward creating one of these multimodal language models and basically the way clip works is that it'll take in both text and images and it will represent them in a shared Vector space such that the text for example a silhouette of a dog will appear close to an image of a silhouette of a dog and similarly the text and image of a silouette of a cat might look like this ama's logo and the text Ama might look like this and then Python programming language would be relatively close to Python's logo so I'll talk about how we can train these models and what we can use them for in the next video of this series and if you enjoyed this video and you want to learn more check out the blog posted in towards data science and although this is going to be a member only story you can access it completely for free using the friend Link in the description below and as always thank you so much for your time and thanks for watching
gUJJB235DVs,2024-11-18T15:11:07.000000,5 AI Projects You Can Build This Weekend #python #ai,five AI project ideas that you can implement this weekend one resumé Optimizer use open ai's python API to adapt your resume to specific job descriptions number two YouTube lecture summarizer take those long lectures collecting dust in your watch later playlist and summarize them to see if they're worth keeping around number three PDF organizer if you're like me you have an unreasonable number of research papers on your desktop you can build the tool to generate text embeddings for each PDF and then use a simple clustering algorithm to organize them into folders number four is multimodal semantic search searching text is easy but what about images and videos now you can use multimodal embedding models to put text and images in the same search space then finally desktop question answering you can connect a multimodal database
bAe4qwQGxlI,2024-10-25T13:18:08.000000,I Built an AI App in 4 days... here's how.,I built a web app to translate YouTube videos into blog posts the crazy thing is before building this I had absolutely no web development experience yet I was still able to build and deploy this project in Just 4 days so how did I do that in this video I'm going to share my full process for building this app and all the tools I used to go from idea to deployment and if you're new here welcome I'm Shaw I make videos about D data science and Entrepreneurship and if you enjoy this content please consider clicking the Subscribe button that's a great no cost way you can support me in all the videos that I make for a bit of context my background is in data science which is basically all about using data and machine learning to solve problems while this means I've done a lot of programming coding to process data or train models is very different than building consumer software this is a common struggle for most data scientists who might be very comfortable with python but never learn how to ship SAS products with my savings on track to hit $0 this quarter I was determined not to be one of these data scientists after spending too much time on Indie hacker Twitter I figured the best way to learn this skill set was by doing it that's why this quarter my goal is to ship one product every single month until until something makes money my first such product is a tool for converting YouTube videos into blog posts it took me just 4 days to build and deploy the initial prototype for this app and here I'm going to share exactly how I did it the first day I was starting from scratch I had my goal of shipping a product in less than a month but hadn't settled on an idea my approach to picking product ideas came from advice I got from Steven Wolfram who said the product time building is a product that I want my interpretation of this advice is to solve your own problems this led me to three product ideas a YouTube thumbnail generator a YouTube clip finder and a YouTube video to blog converter after doing some basic research and playing around with chat GPT I settled on this last idea because I felt it was the one I could implement the fastest I had also seen a job post on upwork paying a few hundred to do exactly this with an idea settled my next step wasn't to start coding instead I started designing the website and user interface for me starting with the design was actually a necessity because I had no idea how to code the thing my approach to doing the design was to First create a brand blueprint in other words creating a color palette picking fonts and designing a logo for the product for the color palette I used a website called cooler to quickly find colors I liked then brought everything together in canva having this brand blueprint made it pretty easy to design a simple UI at the end of day one I had something that looked like this on day two the goal was to implement the front end based on my canva design since my goal was to ship the product by the end of the month I didn't have time to learn HTML and a front-end framework the fastest way forward would be to use the language I'm most com able with python lucky for me a few months ago a python library was released to do exactly this the library is called Fast HTML which allows developers to build modern web apps in Python I spent the morning learning fast HTML by watching a lecture from the creators and reading through their documentation then in the afternoon I started coding the front end based on my canva design my first step was to take a screenshot of the design and pasted into cursor to get me started even though fast HTML is a new library that Claude and GPT haven't been trained on I uploaded this text file from Fast html's GitHub repository to give cursor more context which actually worked surprisingly well this experience sold me on using cursor and AI assistance for coding I'd also use chat GPT from time to time for tasks such as writing CSS styling this workflow of trying AI chat in cursor with Claude first then going to chat GPT if needed became my standard approach by the end of the day I had a site that looked very similar to my initial design by day three I had coded my website but it didn't do anything The Next Step was to implement the backend I started by asking chat GPT to write me a prompt for creating blog posts based on YouTube video transcripts I tinkered with this prompt in chat GPT a bit and experimented manually with different videos when I had something that looked good I implemented the whole process in Python the two key libraries I used here were the YouTube transcript API and open ai's python API since I've used these libraries for past projects I was able to repurpose most of the code from these examples that was the extent of the AI I used for this initial version I could have done something more sophisticated like allowing users to upload PDFs or fine-tuning a model on my own YouTube videos and blog posts but that would a taken time I don't have right now if this product is something that people actually want then I'll go back and make these improvements the rest of the backend implementation was just making the website work via basic web development which I was all learning on the Fly by day four I had a working prototype of the app running locally on my machine but you can't really sell a product that only runs on your computer the goal of day four was to deploy my app to the internet to avoid abuse from spammers and Bots I set up Google oo this is basically that signin with Google option that you see on websites these days the benefits of requiring people to sign in with Google are one I don't have to manage sensitive information like user passwords and two I don't need to worry about verifying that the users are human while setting up ooth sounds simple enough it took me most of the morning to get this working after that I bought a custom domain for the app I paid $70 for the domain yb. from Squarespace and then finally I deployed the app on Railway this was the fastest option because there was example code for deploying a fast HTML app to railway in their documentation after a handful of failed deployments and switching my domain provider to Cloud flx I was finally up and running here's a demo of me using that early version of the app I used it to create a blog post for a podcast that I hosted last year typically it takes me at least an hour to write a first draft for a blog like this however using this tool I was able to do that in just 5 minutes and then after just one day of this blog being monetized on medium I've made $112 from it which is already some real value for me personally in just four days I went from idea to production this is the world now thanks to python libraries like Fast HTML coding tools like cursor and deployment services like Railway developers can Implement ideas faster and validate them in public while this project would have taken me weeks without these tools it was still a prototype so it had limitations such as ooth users had to be manually defined in the Google Cloud console there wasn't a database hooked up to the app so users could use it without any limits and most importantly there was no stripe integration so no way of making any money from it it took me another 8 days to make an MVP version for which any Google user could sign in usage metrics were stored in a SQL light database stripe integration was set up and created a landing page that included a demo for people who hadn't signed up yet you can try out the latest version of the app completely for free using the link in the description below although shipping an app in one month may have sounded crazy a few years ago this is becoming normal based on my experience with this first product here are three key tips for those trying to do something similar first build with what you know if I had to learn JavaScript or react before even starting this project I'd still probably be watching YouTube tutorials Second Use AI tools coding assistants like cursor and stbt have become the norm in programming if you aren't using them you're probably moving two times slower than you would otherwise third and finally it's not just about building I know this video focused on the development side of the product but what are just as important if not more are the idea that you build and how you Market it for ideas I'd take wolfram's advice and solve your own problems this allows you to move faster and increases the likelihood of validation because you are your own customer for marketing that's still something I'm trying to figure out but when I find something that works I'll be sure to share it here if you have any questions about my process or any of the tech I used please let me know in the comments and as always thank you so much for your time and thanks for watching
4QHg8Ix8WWQ,2024-10-17T12:50:12.000000,Fine-Tuning BERT for Text Classification (Python Code),"massive Transformer models like GPT 40 llama and Claude are the current state-of-the-art in AI however many of the problems we care about do not require a 100 billion parameter model there are countless problems we can solve with smaller language models in this video I'm going to share one example of this by fine-tuning Bert to classify fishing URLs I'll start by covering some key Concepts then walk through example python code and if you're new here welcome I'm Shaw I make videos about data science and Entrepreneurship if you enjoy this content please consider clicking the Subscribe button that's a great no cost way you can support me in all the videos that I make so the title this video has a few pieces of jargon fine-tuning bird and text classification so let's talk about each of these terms one by one starting with fine-tuning this is when we adapt a pre-trained model to a particular task through additional training using an analogy we can think of the pre-trained model like a slab of marble that we can refine and chisel into a statue which in this analogy would be our fine-tuned model and typically the pre-trained model in this approach to machine learning is a self-supervised model meaning that the labels used to train the pre-trained model aren't manually defined but rather are derived from the structure of the data itself for example when talking about Text data we can use the inherent structure of text in order to do word prediction we could take a sentence like adapting a pre-trained model to a particular task and simply train the model to recursively predict the next tokens so maybe adapt would be used to predict ing adapting would be used to predict a adapting a would be used to predict pre adapting a pre would be used to predict train and so on and so forth so the key upside of this is that humans do not need to annotate or label the training data on the other hand the fine-tuned model will typically be trained in a supervised way in other words the targets are manually defined by humans so the reason we might want to develop a model in this way is because since the pre-trained model doesn't require any man manual annotation of training data that means we can train on much larger training data sets we no longer have that human bottleneck for example Bert which is the model we're going to be focusing on in this video was trained on 3 billion words in other words we have billions of examples that this model can learn from this is in contrast to a typical fine-tuning task which might consist of a few thousand examples so we're talking about six orders of magnitude difference in the number of examples today this is the prevailing Paradigm for developing state-of-the-art machine learning models there is an initial step of pre-training which will typically use some kind of self-supervised learning which allows the model to learn a tremendous amount of knowledge on a massive training data set and then the pre-trained model can be refined to be a bit more helpful through fine-tuning another benefit of developing models like this is that it unlocks the democratization of AI because developing these massive pre-trained models like llama or mistel or Claude or GPT 40 requires tremendous resources that no individual or typical research group will be able to pull off however splitting the model develop ment process into these two steps of first pre-training and then fine-tuning enables the pre-training to be done by specialized research Labs such as open AI Google meta anthropic mistal so on and so forth who can then make their pre-trained Foundation models publicly available for fine-tuning another Nuance here is that we aren't restricted to just doing one iteration of fine-tuning really any fine tun tuned model can serve as the starting place for additional fine-tuning so maybe we'll take this fine-tuned model and then we'll do some additional fine tuning to make it even more specialized for a particular use case and this is exactly the story of Chad GPT which was developed through three phases it started with the unsupervised pre-training then there was a supervised fine-tuning step and then there was a final step of reinforcement learning which refined the model even further that's all I'm going to say about fine-tuning in this video but if you want to learn more I do a deep dive in a previous video of this series the second piece of jargon in the title of this video is Bert even though this Paradigm of pre-training and fine-tuning models got super popular when open AI released chat gbt and shared that they were able to do that through this three-step process of pre-training fine-tuning and then additional fine tuning this is an approach that's been around since at least 2015 and one of the early models that really exploited this idea was Google's Bert which was released in 2019 ber is a language model developed specifically with fine-tuning in mind in other words the researchers at Google created Bert so that other researchers and individuals could repurpose the model through fine tuning on additional tasks in order to do this Bert was trained on two tasks the first task is masked language modeling what that means is is if we have the sentence the cat blank on the mat masked language modeling consists of using the context before and after this masked word this hidden word in order to predict it so given this input sequence this can be passed to Bert and then Bert will predict what the masked word is this is in contrast to models like GPT which don't do masked language modeling but rather causal language modeling where the training task is next word or next token prediction as opposed to masked language modeling the benefit of doing masked language modeling versus causal language modeling is that the model can use context from both sides of the sentence it can use both the text before and after the masked word in order to make a prediction intuitively this additional context gives the model more information for making predictions but that's not the only thing that Bert was trained on the second task that it was trained to do is next sentence prediction what this looks like is given two sentences A and B so here sentence a is Bert is conceptually simple and empirically powerful and then sentence B is it obtains new state-of-the-art results on 11 NLP tasks Bert is trying to take sentence pairs like this and output a label of is next or is not next this is a sentence pair taken from the original ber paper which is reference number one and so this is indeed the next sentence alternatively we could have a pair of sentences that are not a match so instead we might have Bert is conceptually simple and empirically powerful and then the next sentence is the cat sat on the mat and so this would be not the next sentence and would receive a different label the intuition behind having this second task of next sentence prediction in addition to mask language modeling understanding the relationship between two sentences like sentence a and sentence B is important for Downstream tasks like question answering or sentence similarity so training Bert on these two different tasks allows it to be effectively fine-tuned on a wide range of tasks the last thing we're going to talk about before getting into the example code is text classification which consists of assigning a label to text sequences and actually the next sentence prediction task we saw in the previous slide is an example of text classification however there are countless other examples of where text text classification might be handy one is Spam detection so given an input sequence of text which is a incoming email we could develop a model to predict whether that email is Spam or not spam similarly if we have incoming it tickets we could develop a text classification model to take those text sequences and categorize the it tickets into the appropriate tiers finally one could use a text classification model to do sentiment analysis on customer reviews in other words to analyze the number of happy customers and the number of unhappy customers with all the jargon covered fine-tuning we covered Bert and we covered text classification let's see a concrete example of doing this so here I will fine-tune Bert to identify fishing URLs this will actually be similar to the example I shared in my fine-tuning video from last year however soon after posting that video someone had pointed out an issue in that example that I had missed and if we look at the training metrics it's actually pretty easy to spot the training loss is decreasing as expected then if we roughly look at the accuracy it improves from the early Epoch to the last epox but it's a bit shaky so actually the best performing Epoch was number three and it seems to wiggle around for the remainder of training but the most obvious red flag is if we look at the validation loss so this is actually monotonically increasing during training which is the opposite of what we want to happen so this is a clear sign of overfitting this wasn't something I had caught so I'm glad someone had pointed this out on the medium article here I'm going to do another example where we don't see this overfitting so for this example we'll be using Python and the hugging face ecosystem so we'll import the data sets library from hugging face which gives us a data structure for loading our training testing and validation data we'll import some things from the Transformers Library the auto tokenizer class the auto model for sequence classification training arguments class and the trainer we'll import the evaluate library from hugging face which has some handy model evaluation functions we'll also import numpy which will be used to compute some of these metrics and then we'll also import this data collator from the Transformers Library which we'll talk about in a little bit with our Imports we'll load our data set so this is something I've made freely available on the hugging face Hub it's a data set of 3,000 examples 70% of which are used for training 15% of which are used for testing and then the final 15% are used for independent validation with our data loaded in we can load the pre-trained model so here we're going to be using Google's Bert more specifically Bert base uncased which consists of 110 million parameters which by today's standards is Tiny But at one point this was a pretty big model we'll load in the tokenizer for this model what this will do is take in arbitrary text sequences and convert them into integer sequences based on what the Burt model is expecting finally we can load in the Bert model but slap on top of it a binary classification head so all we have to do is use this autom model for sequence classification class and use this fir pre-trained method and we'll pass into it the model path which is what we defined here the number of labels the number of classes and then a mapping for the classes so the ID is going to be an integer and then we'll have a label for each class zero will correspond to a safe URL and one will correspond to a unsafe URL with our model loaded in and our classification head slapped on top of it let's set the trainable parameters by default when we loaded in our model in this line of code it initializes all the model parameters as trainable so all 110 million parameters plus the parameters in the binary classification head are all ready to be trained however if you're just running this example on your laptop like I did that's going to be pretty computationally expensive and potentially unnecessary so to help with that here we're going to freeze most of the parameters in the model we can do that pretty easily so here I have a for Loop that's going to go through the base model and it's going to freeze all the base model parameters to just break this down a little bit we have this model object which has this base model attribute and then that base model attribute has this named parameters method which will return tupal corresponding to all the parameters in the model basically what we can do is go through all the base model parameters and set this requires grad property to false after running this all the base model parameters are frozen and only the parameters in that classification head that we slapped on top of the model are trainable another name for for training a model like this is called transfer learning where we leave the base model parameters Frozen and only train a classification head that we add on top of it however this might result in a pretty rigid model because we can only refine the parameters in that classification head so one thing we can do is we can unfreeze the base model parameters in the final two layers so in the pooling layers of this model one way we we can do this is that we can loop back through the base model parameters and then if we see the word Pooler in the name of the model we can just unfreeze those parameters the result of all this is that we freeze all the model parameters except for the last four layers this allows us to keep the computational cost down for fine tuning while also giving us a fair amount of flexibility and of course you can free free or unfreeze any of the model parameters that you like and this would be like a fun thing to experiment with on your own with our model ready to be trained next we need to pre-process our data this is actually going to be pretty simple we'll Define a function called pre-process function which will take in an arbitrary sequence of text and tokenize it so it'll translate a string of words into a sequence of integers according to to the Bur tokenizer additionally I add this truncation flag what that will do is ensure that none of the input URLs are too long so by default I think this will truncate all the input sequences to 512 tokens and then with that function defined we can just apply this pre-processing step to all the data sets in our data set dictionary that we imported earlier so this will tokenize the training testing and validation data sets and return it in this tokenized data variable and then another thing we can initialize at this point is a data collator and so we took care of input sequences that might be too long but when we are training a model it's important that every example in a batch is the same size and so even though we won't have any examples greater than 512 integers we will have examples with fewer than that so to ensure all the samples in a batch have a uniform length we can create this data collator which will automatically do that for us during training okay and then the final step before we actually train the model is to Define evaluation metrics these are the metrics that will be printed during the training process here I'll use two evaluation metrics the accuracy and the Au score these are both loaded from the evaluate library then I will Define this function called compute metrics which will comp comp the accuracy and Au score for any example so the input of this function will be a tuple it'll consist of predictions and labels predictions will be a logit it will be a number between minus1 and 1 while labels will be the ground truth so this will be either zero or one to convert the logits into probabilities so basically to map a number between -1 and 1 to a number between 0 and 1 we'll apply the softmax function which looks like this this will compute probabilities for both cases for both the URL is safe and the URL is not safe so let's only look at the probabilities for the URL being not safe and then we'll use that to compute the Au score we do that by passing in the positive class probabilities so the probability that the URL is not safe and the ground truth and we'll round it to three decimal plates that gives us our Au score and then we can predict the most probable class so predictions will consist of two numbers it'll be a loic corresponding to a safe URL and the logic corresponding to a unsafe URL we'll just do ARG Max so it'll just return which element is larger and then we can pass that into this line of code to compute the accuracy so we'll compare the predicted class with the ground truth and we'll round that number to three decimal places then we'll return a dictionary which consists of the accurate and Au score while this may have been a lot of Hoops to jump through this will be nice during training because at each Epoch our trainer will print out the accuracy and Au score for us now we're ready to start training the model we'll Define our training parameters we'll set the learning rate at 2 to Theus 4 batch size as eight and number of epoch as 10 we'll put all these into a training arguments variable so we can set our output directory which I set as Bert fishing class classifier teacher the reason this teacher is here we'll talk about near the end we'll set the learning rate defined here we'll put the per device training and evaluation batch size which is just going to be eight number of epoch is 10 and then logging evaluation and save strategy so logging strategy sets how often the trainer will print the training loss eval strategy sets how often the trainer will print the evaluation metrics that we defined earlier so Au and accuracy and then we can also set our save strategy so we can have the model get saved at every Epoch just in case something goes wrong we can refer back to that latest save and then we'll set that the trainer will load the best model at the end so if the 10th EPO isn't the best model maybe it was the eighth Epoch we'll use that one instead of the last one with all the training arguments set we are ready to find tune our model we'll pass everything into our trainer pass in our model the training arguments from before our TR training data set our evaluation data set the tokenizer the data cator and the compute metric function and then simply run trainer. Trin so this I think took about 15 minutes to run on my laptop didn't use a GPU or anything but here are the results we can see the training loss is steadily decreasing we see the validation loss is a little rocky at times but it eventually goes down and then we have our accuracy in AU C so we can see the accuracy is for the most part increasing and then the Au is steadily increasing so this is what we want to see we don't want our validation loss to be monotonically increasing we want it to be decreasing with training but we can go one step further this is evaluating our model on the training data and the testing data but let's look at it on the independent validation data set this validation data was not used for training the model parameters or to the hyperparameters so it gives us a fair evaluation of the model to apply the model to the validation data will'll generate predictions for it like this then we will extract the logits and the labels from the predictions and then we'll just pass these into the compute metric function defined earlier and then we can see that these are the results the accuracy and Au score are comparable to what we're seeing for the testing data set in the previous slide so accuracy about 0.89 Au about 0.9 5 if we go back we see accuracy 0.87 Au 0.95 pretty similar so that's a good sign that this model is probably not overfitting at the end of this we have a binary classification model that consists of a little over 110 million parameters however as a bonus we can actually shrink this model even further and that's exactly what I do in a previous video of this series where I talk about model compression for for large language models the example in that video I take the model that we just created here and reduce its memory footprint by 7x using model distillation and quantization the key upside of these compression techniques is that we can shrink the computational requirements for our models without sacrificing performance in fact for the example that I walk through in this video the performance actually goes up a little bit that brings us to the end if you enjoyed this video and you want to learn more check out the blog and towards data science there I cover some more details that I may have missed here and even though this is a member only story you can access it completely for free using the friend Link in the description below and as always thank you so much for your time and thanks for watching"
